,team,group,win_pct,final_pct,semi_pct,quarter_pct,r16_pct,r32_pct,wins
1,France,I,33.07,47.01,81.39,100.0,100.0,100.0,3307
2,Argentina,J,28.66,45.71,59.23,63.57,87.8,100.0,2866
3,Brazil,C,13.66,32.65,52.18,78.33,100.0,100.0,1366
4,Spain,H,8.08,18.78,31.41,45.23,72.21,100.0,808
5,Belgium,G,3.35,11.51,34.03,59.07,76.69,100.0,335
6,England,L,2.98,7.79,14.16,50.03,85.93,100.0,298
7,Morocco,C,2.29,7.46,24.9,58.67,100.0,100.0,229
8,Portugal,K,1.78,5.82,18.63,39.16,90.7,100.0,178
9,Switzerland,B,1.75,6.12,15.92,43.97,63.99,100.0,175
10,Colombia,K,1.67,6.39,17.0,33.37,96.54,100.0,167
11,Mexico,A,0.81,1.88,4.45,49.61,100.0,100.0,81
12,Canada,B,0.76,2.52,13.03,21.67,100.0,100.0,76
13,Austria,J,0.41,1.45,6.14,14.89,27.79,100.0,41
14,Algeria,J,0.23,1.12,3.53,25.38,36.01,100.0,23
15,Senegal,I,0.15,1.33,5.97,20.79,23.31,100.0,15
16,Australia,D,0.14,0.8,2.73,21.32,72.61,100.0,14
17,Paraguay,D,0.12,0.69,9.89,41.33,100.0,100.0,12
18,Egypt,G,0.05,0.31,0.99,9.33,27.39,100.0,5
19,United States,D,0.03,0.52,3.19,17.15,86.0,100.0,3
20,Croatia,L,0.01,0.03,0.2,0.72,9.3,100.0,1
21,Czechia,A,0.0,0.0,0.0,0.0,0.0,0.0,0
22,South Korea,A,0.0,0.0,0.0,0.0,0.0,0.0,0
23,Bosnia and Herzegovina,B,0.0,0.01,0.43,2.99,14.0,100.0,0
24,Qatar,B,0.0,0.0,0.0,0.0,0.0,0.0,0
25,Scotland,C,0.0,0.0,0.0,0.0,0.0,0.0,0
26,Haiti,C,0.0,0.0,0.0,0.0,0.0,0.0,0
27,Turkey,D,0.0,0.0,0.0,0.0,0.0,0.0,0
28,South Africa,A,0.0,0.0,0.0,0.0,0.0,100.0,0
29,Ivory Coast,E,0.0,0.0,0.0,0.0,0.0,100.0,0
30,Tunisia,F,0.0,0.0,0.0,0.0,0.0,0.0,0
31,Netherlands,F,0.0,0.0,0.0,0.0,0.0,100.0,0
32,Sweden,F,0.0,0.0,0.0,0.0,0.0,100.0,0
33,Cape Verde,H,0.0,0.08,0.49,2.61,12.2,100.0,0
34,Uruguay,H,0.0,0.0,0.0,0.0,0.0,0.0,0
35,Saudi Arabia,H,0.0,0.0,0.0,0.0,0.0,0.0,0
36,Iran,G,0.0,0.0,0.0,0.0,0.0,0.0,0
37,New Zealand,G,0.0,0.0,0.0,0.0,0.0,0.0,0
38,Ecuador,E,0.0,0.0,0.0,0.0,0.0,100.0,0
39,Germany,E,0.0,0.0,0.0,0.0,0.0,100.0,0
40,Curaçao,E,0.0,0.0,0.0,0.0,0.0,0.0,0
41,Japan,F,0.0,0.0,0.0,0.0,0.0,100.0,0
42,Jordan,J,0.0,0.0,0.0,0.0,0.0,0.0,0
43,Norway,I,0.0,0.0,0.0,0.0,100.0,100.0,0
44,Iraq,I,0.0,0.0,0.0,0.0,0.0,0.0,0
45,Uzbekistan,K,0.0,0.0,0.0,0.0,0.0,0.0,0
46,DR Congo,K,0.0,0.0,0.0,0.36,14.07,100.0,0
47,Panama,L,0.0,0.0,0.0,0.0,0.0,0.0,0
48,Ghana,L,0.0,0.02,0.11,0.45,3.46,100.0,0
