date,home_team,away_team,home_elo,away_elo,elo_diff,home_recent_wins,home_recent_draws,home_recent_losses,home_recent_goals_for,home_recent_goals_against,home_recent_goal_diff,away_recent_wins,away_recent_draws,away_recent_losses,away_recent_goals_for,away_recent_goals_against,away_recent_goal_diff,recent_win_diff,recent_goal_diff_diff,neutral,target
2026-06-11 19:00:00+00:00,Mexico,South Africa,1860,1524,336,5,0,0,11,1,10,1,2,2,3,5,-2,4,12,0,H
2026-06-12 02:00:00+00:00,South Korea,Czechia,1752,1726,26,3,0,2,8,3,5,2,2,1,11,7,4,1,1,1,H
2026-06-12 19:00:00+00:00,Canada,Bosnia and Herzegovina,1784,1594,190,2,3,0,10,2,8,0,4,1,4,7,-3,2,11,0,D
2026-06-13 01:00:00+00:00,United States,Paraguay,1721,1833,-112,2,0,3,10,12,-2,3,0,2,9,7,2,-1,-4,1,H
2026-06-13 19:00:00+00:00,Qatar,Switzerland,1425,1889,-464,0,2,3,1,11,-10,2,3,0,10,4,6,-2,-16,1,D
2026-06-13 22:00:00+00:00,Brazil,Morocco,1984,1822,162,3,1,1,13,7,6,3,2,0,13,3,10,0,-4,1,D
2026-06-14 01:00:00+00:00,Haiti,Scotland,1532,1767,-235,1,1,3,6,5,1,3,0,2,9,3,6,-2,-5,1,A
2026-06-14 04:00:00+00:00,Australia,Turkey,1783,1902,-119,3,1,1,9,3,6,4,0,1,8,3,5,-1,1,1,H
2026-06-14 17:00:00+00:00,Germany,Curaçao,1923,1436,487,5,0,0,19,6,13,1,0,4,7,18,-11,4,24,1,H
2026-06-14 20:00:00+00:00,Netherlands,Japan,1961,1904,57,2,2,1,7,6,1,4,1,0,8,2,6,-2,-5,1,D
2026-06-14 23:00:00+00:00,Ivory Coast,Ecuador,1676,1933,-257,4,0,1,10,4,6,2,2,1,7,4,3,2,3,1,H
2026-06-15 02:00:00+00:00,Sweden,Tunisia,1719,1636,83,3,1,1,14,9,5,1,1,3,2,11,-9,2,14,1,H
2026-06-15 16:00:00+00:00,Spain,Cape Verde,2165,1549,616,2,3,0,7,2,5,1,2,2,6,8,-2,1,7,1,D
2026-06-15 19:00:00+00:00,Belgium,Egypt,1867,1689,178,3,2,0,14,4,10,2,2,1,7,3,4,1,6,1,D
2026-06-15 22:00:00+00:00,Saudi Arabia,Uruguay,1568,1892,-324,1,2,2,6,5,1,0,4,1,3,7,-4,1,5,1,D
2026-06-16 01:00:00+00:00,Iran,New Zealand,1760,1585,175,3,1,1,13,5,8,1,1,3,6,10,-4,2,12,1,D
2026-06-16 19:00:00+00:00,France,Senegal,2081,1878,203,4,0,1,12,6,6,2,1,2,8,7,1,2,5,1,H
2026-06-16 22:00:00+00:00,Iraq,Norway,1607,1912,-305,2,1,2,5,8,-3,2,2,1,9,5,4,0,-7,1,A
2026-06-17 01:00:00+00:00,Argentina,Algeria,2113,1743,370,5,0,0,15,1,14,3,1,1,12,3,9,2,5,1,H
2026-06-17 04:00:00+00:00,Austria,Jordan,1827,1690,137,4,1,0,11,3,8,0,2,3,6,13,-7,4,15,1,H
2026-06-17 17:00:00+00:00,Portugal,DR Congo,1984,1655,329,3,2,0,7,3,4,2,2,1,5,3,2,1,2,1,D
2026-06-17 20:00:00+00:00,England,Croatia,2020,1930,90,3,1,1,9,4,5,2,0,3,7,11,-4,1,9,1,H
2026-06-17 23:00:00+00:00,Ghana,Panama,1503,1737,-234,1,1,3,4,10,-6,2,1,2,9,11,-2,-1,-4,1,H
2026-06-18 02:00:00+00:00,Uzbekistan,Colombia,1727,1975,-248,1,1,3,5,8,-3,3,0,2,10,7,3,-2,-6,1,A
2026-06-18 16:00:00+00:00,Czechia,South Africa,1726,1524,202,2,2,1,11,7,4,1,2,2,3,5,-2,1,6,1,D
2026-06-18 19:00:00+00:00,Switzerland,Bosnia and Herzegovina,1889,1594,295,2,3,0,10,4,6,0,4,1,4,7,-3,2,9,1,H
2026-06-18 22:00:00+00:00,Canada,Qatar,1784,1425,359,2,3,0,10,2,8,0,2,3,1,11,-10,2,18,0,H
2026-06-19 01:00:00+00:00,Mexico,South Korea,1860,1752,108,5,0,0,11,1,10,3,0,2,8,3,5,2,5,0,H
2026-06-19 19:00:00+00:00,United States,Australia,1721,1783,-62,2,0,3,10,12,-2,3,1,1,9,3,6,-1,-8,1,H
2026-06-19 22:00:00+00:00,Scotland,Morocco,1767,1822,-55,3,0,2,9,3,6,3,2,0,13,3,10,0,-4,1,A
2026-06-20 00:30:00+00:00,Brazil,Haiti,1984,1532,452,3,1,1,13,7,6,1,1,3,6,5,1,2,5,1,H
2026-06-20 03:00:00+00:00,Turkey,Paraguay,1902,1833,69,4,0,1,8,3,5,3,0,2,9,7,2,1,3,1,A
2026-06-20 17:00:00+00:00,Netherlands,Sweden,1961,1719,242,2,2,1,7,6,1,3,1,1,14,9,5,-1,-4,1,H
2026-06-20 20:00:00+00:00,Germany,Ivory Coast,1923,1676,247,5,0,0,19,6,13,4,0,1,10,4,6,1,7,1,H
2026-06-21 00:00:00+00:00,Ecuador,Curaçao,1933,1436,497,2,2,1,7,4,3,1,0,4,7,18,-11,1,14,1,D
2026-06-21 04:00:00+00:00,Tunisia,Japan,1636,1904,-268,1,1,3,2,11,-9,4,1,0,8,2,6,-3,-15,1,A
2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,2165,1568,597,2,3,0,7,2,5,1,2,2,6,5,1,1,4,1,H
2026-06-21 19:00:00+00:00,Belgium,Iran,1867,1760,107,3,2,0,14,4,10,3,1,1,13,5,8,0,2,1,D
2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,1892,1549,343,0,4,1,3,7,-4,1,2,2,6,8,-2,-1,-2,1,D
2026-06-22 01:00:00+00:00,New Zealand,Egypt,1585,1689,-104,1,1,3,6,10,-4,2,2,1,7,3,4,-1,-8,1,A
2026-06-22 17:00:00+00:00,Argentina,Austria,2113,1827,286,5,0,0,15,1,14,4,1,0,11,3,8,1,6,1,H
2026-06-22 21:00:00+00:00,France,Iraq,2081,1607,474,4,0,1,12,6,6,2,1,2,5,8,-3,2,9,1,H
2026-06-23 00:00:00+00:00,Norway,Senegal,1912,1878,34,2,2,1,9,5,4,2,1,2,8,7,1,0,3,1,H
2026-06-23 03:00:00+00:00,Jordan,Algeria,1690,1743,-53,0,2,3,6,13,-7,3,1,1,12,3,9,-3,-16,1,A
2026-06-23 17:00:00+00:00,Portugal,Uzbekistan,1984,1727,257,3,2,0,7,3,4,1,1,3,5,8,-3,2,7,1,H
2026-06-23 20:00:00+00:00,England,Ghana,2020,1503,517,3,1,1,9,4,5,1,1,3,4,10,-6,2,11,1,D
2026-06-23 23:00:00+00:00,Panama,Croatia,1737,1930,-193,2,1,2,9,11,-2,2,0,3,7,11,-4,0,2,1,A
2026-06-24 02:00:00+00:00,Colombia,DR Congo,1975,1655,320,3,0,2,10,7,3,2,2,1,5,3,2,1,1,1,H
2026-06-24 19:00:00+00:00,Bosnia and Herzegovina,Qatar,1594,1425,169,0,4,1,4,7,-3,0,2,3,1,11,-10,0,7,1,H
2026-06-24 19:00:00+00:00,Switzerland,Canada,1889,1784,105,2,3,0,10,4,6,2,3,0,10,2,8,0,-2,1,H
2026-06-24 22:00:00+00:00,Morocco,Haiti,1822,1532,290,3,2,0,13,3,10,1,1,3,6,5,1,2,9,1,H
2026-06-24 22:00:00+00:00,Scotland,Brazil,1767,1984,-217,3,0,2,9,3,6,3,1,1,13,7,6,0,0,1,A
2026-06-25 01:00:00+00:00,Czechia,Mexico,1726,1860,-134,2,2,1,11,7,4,5,0,0,11,1,10,-3,-6,1,A
2026-06-25 01:00:00+00:00,South Africa,South Korea,1524,1752,-228,1,2,2,3,5,-2,3,0,2,8,3,5,-2,-7,1,H
2026-06-25 20:00:00+00:00,Curaçao,Ivory Coast,1436,1676,-240,1,0,4,7,18,-11,4,0,1,10,4,6,-3,-17,1,A
2026-06-25 20:00:00+00:00,Ecuador,Germany,1933,1923,10,2,2,1,7,4,3,5,0,0,19,6,13,-3,-10,1,H
2026-06-25 23:00:00+00:00,Japan,Sweden,1904,1719,185,4,1,0,8,2,6,3,1,1,14,9,5,1,1,1,D
2026-06-25 23:00:00+00:00,Tunisia,Netherlands,1636,1961,-325,1,1,3,2,11,-9,2,2,1,7,6,1,-1,-10,1,A
2026-06-26 02:00:00+00:00,Paraguay,Australia,1833,1783,50,3,0,2,9,7,2,3,1,1,9,3,6,0,-4,1,D
2026-06-26 02:00:00+00:00,Turkey,United States,1902,1721,181,4,0,1,8,3,5,2,0,3,10,12,-2,2,7,1,H
2026-06-26 19:00:00+00:00,Norway,France,1912,2081,-169,2,2,1,9,5,4,4,0,1,12,6,6,-2,-2,1,A
2026-06-26 19:00:00+00:00,Senegal,Iraq,1878,1607,271,2,1,2,8,7,1,2,1,2,5,8,-3,0,4,1,H
2026-06-27 00:00:00+00:00,Cape Verde,Saudi Arabia,1549,1568,-19,1,2,2,6,8,-2,1,2,2,6,5,1,0,-3,1,D
2026-06-27 00:00:00+00:00,Uruguay,Spain,1892,2165,-273,0,4,1,3,7,-4,2,3,0,7,2,5,-2,-9,1,A
2026-06-27 03:00:00+00:00,Egypt,Iran,1689,1760,-71,2,2,1,7,3,4,3,1,1,13,5,8,-1,-4,1,D
2026-06-27 03:00:00+00:00,New Zealand,Belgium,1585,1867,-282,1,1,3,6,10,-4,3,2,0,14,4,10,-2,-14,1,A
2026-06-27 21:00:00+00:00,Croatia,Ghana,1930,1503,427,2,0,3,7,11,-4,1,1,3,4,10,-6,1,2,1,H
2026-06-27 21:00:00+00:00,Panama,England,1737,2020,-283,2,1,2,9,11,-2,3,1,1,9,4,5,-1,-7,1,A
2026-06-27 23:30:00+00:00,Colombia,Portugal,1975,1984,-9,3,0,2,10,7,3,3,2,0,7,3,4,0,-1,1,D
2026-06-27 23:30:00+00:00,DR Congo,Uzbekistan,1655,1727,-72,2,2,1,5,3,2,1,1,3,5,8,-3,1,5,1,H
2026-06-28 02:00:00+00:00,Algeria,Austria,1743,1827,-84,3,1,1,12,3,9,4,1,0,11,3,8,-1,1,1,D
2026-06-28 02:00:00+00:00,Jordan,Argentina,1690,2113,-423,0,2,3,6,13,-7,5,0,0,15,1,14,-5,-21,1,A
2026-06-28 19:00:00+00:00,South Africa,Canada,1524,1784,-260,1,2,2,3,5,-2,2,3,0,10,2,8,-1,-10,1,A
2026-06-29 17:00:00+00:00,Brazil,Japan,1984,1904,80,3,1,1,13,7,6,4,1,0,8,2,6,-1,0,1,H
2026-06-29 20:30:00+00:00,Germany,Paraguay,1923,1833,90,5,0,0,19,6,13,3,0,2,9,7,2,2,11,1,D
2026-06-30 01:00:00+00:00,Netherlands,Morocco,1961,1822,139,2,2,1,7,6,1,3,2,0,13,3,10,-1,-9,1,D
2026-06-30 17:00:00+00:00,Ivory Coast,Norway,1676,1912,-236,4,0,1,10,4,6,2,2,1,9,5,4,2,2,1,A
2026-06-30 21:00:00+00:00,France,Sweden,2081,1719,362,4,0,1,12,6,6,3,1,1,14,9,5,1,1,1,H
2026-07-01 02:00:00+00:00,Mexico,Ecuador,1860,1933,-73,5,0,0,11,1,10,2,2,1,7,4,3,3,7,0,H
